"OBSERVED_PROPERTY_ID";"OBSERVED_PROPERTY_CODE";"OBSERVED_PROPERTY_NAME";"OBSERVING_FACILITY_CODE";"OBSERVING_FACILITY_NAME";"PHENOMEN_TIME";"REFERENCE_TIME";"UOM";"VALUE";"NUTS_LEVEL";"SECTOR_ID"
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA17";"Kreisfreie Stadt Oberhausen";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.6;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA18";"Kreisfreie Stadt Remscheid";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.3;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA19";"Kreisfreie Stadt Solingen";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.3;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA2A";"Oberbergischer Kreis";"P1Y/2018-12-31";"2018-12-31";"kt/year";1;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA2B";"Rheinisch-Bergischer Kreis";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.5;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA2C";"Rhein-Sieg-Kreis";"P1Y/2018-12-31";"2018-12-31";"kt/year";1.8;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA2D";"Städteregion Aachen";"P1Y/2018-12-31";"2018-12-31";"kt/year";1.5;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA22";"Kreisfreie Stadt Bonn";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.6;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA23";"Kreisfreie Stadt Köln";"P1Y/2018-12-31";"2018-12-31";"kt/year";3.2;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA24";"Kreisfreie Stadt Leverkusen";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.5;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA26";"Kreis Düren";"P1Y/2018-12-31";"2018-12-31";"kt/year";1.6;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA27";"Rhein-Erft-Kreis";"P1Y/2018-12-31";"2018-12-31";"kt/year";4.2;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA28";"Kreis Euskirchen";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.7;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA29";"Kreis Heinsberg";"P1Y/2018-12-31";"2018-12-31";"kt/year";1;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA31";"Kreisfreie Stadt Bottrop";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.4;3;1003
1852142793;"RGN_DEU_P1Y_CH4_E_R_1003";"annually reported emissions of methane (CH4) from Waste";"DEA32";"Kreisfreie Stadt Gelsenkirchen";"P1Y/2018-12-31";"2018-12-31";"kt/year";1.2;3;1003
