Jahr;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen-Anhalt;Sachsen;Schleswig-Holstein;Thueringen;Deutschland;Süd_mean;Nord_mean
1989;24,74;26,51;8,42;8,44;16,66;16,70;21,30;9,44;16,63;22,27;23,62;28,67;9,26;15,34;16,77;15,66;19,00;25,63;15,24
1990;29,62;28,78;10,79;10,76;20,03;25,04;20,52;12,93;20,00;22,13;22,04;27,38;10,89;13,29;30,08;15,89;21,25;29,20;21,62
1991;21,18;22,06;9,10;9,12;14,88;17,83;14,69;10,04;14,85;21,51;17,58;22,84;8,26;11,51;20,80;10,44;16,46;21,62;15,68
1992;29,44;29,99;11,06;11,07;19,28;19,09;23,63;12,60;19,33;25,86;22,81;26,46;13,88;16,91;18,85;17,94;21,91;29,72;17,83
1993;29,44;30,34;15,60;15,67;28,13;26,32;22,47;18,97;28,11;33,22;23,64;29,51;15,50;21,45;24,53;21,57;25,41;29,89;25,21
1994;30,98;26,30;16,99;16,97;26,21;27,62;24,38;18,40;26,18;30,47;21,35;27,63;18,10;20,11;29,06;21,38;24,57;28,64;25,49
1995;37,48;33,66;13,51;13,50;21,54;20,56;24,50;13,61;21,52;24,44;27,53;37,23;12,48;23,55;19,59;22,89;24,80;35,57;19,36
1996;26,85;25,76;10,41;10,38;14,83;14,93;18,64;11,54;14,89;19,65;16,60;19,41;10,92;14,41;14,96;16,53;18,26;26,31;14,23
1997;25,37;25,66;11,92;11,93;18,45;19,97;16,44;13,01;18,47;22,40;20,22;26,93;11,18;16,98;21,46;16,46;19,63;25,52;18,27
1998;30,56;30,11;12,53;12,56;26,90;28,23;25,01;18,20;26,87;32,35;23,40;28,24;12,88;19,04;29,58;20,62;24,95;30,34;25,96
1999;37,00;30,88;8,55;8,62;17,13;18,88;20,61;13,09;17,17;26,20;23,69;31,93;9,92;15,36;20,59;18,93;22,13;33,94;17,37
2000;28,72;29,16;9,93;9,91;15,03;14,25;20,27;11,23;15,05;23,46;27,94;41,27;10,69;17,92;13,45;16,57;20,45;28,94;13,80
2001;37,11;33,99;11,86;11,87;24,70;23,78;22,12;14,17;24,64;28,19;27,08;39,84;13,57;18,58;22,92;18,39;25,11;35,55;22,04
2002;41,16;39,91;17,72;17,74;29,04;29,68;30,98;19,74;29,05;33,73;30,21;36,58;19,80;24,37;30,30;27,33;30,73;40,54;27,56
2003;21,17;20,35;8,48;8,43;15,67;15,87;15,22;9,68;15,67;22,88;17,72;20,89;9,13;11,23;16,06;13,58;16,27;20,76;14,59
2004;27,07;26,27;11,91;11,89;22,28;23,21;20,96;13,72;22,28;27,18;20,34;24,32;13,81;19,53;24,14;18,67;21,69;26,67;21,13
2005;27,48;28,16;14,55;14,54;17,61;18,15;18,59;14,85;17,55;23,27;17,05;20,88;12,60;20,71;18,74;16,79;20,72;27,82;17,38
2006;29,96;28,31;6,95;6,98;14,61;16,20;20,19;12,16;14,61;23,13;21,67;26,93;8,44;15,16;17,78;18,13;19,65;29,14;15,07
2007;33,37;31,71;18,96;18,90;28,69;28,36;27,88;20,30;28,69;34,01;24,18;31,56;21,01;22,00;28,03;25,41;27,64;32,54;26,81
2008;28,80;25,46;13,86;13,90;21,05;21,00;17,86;12,47;21,06;23,70;20,08;24,82;15,16;18,44;20,93;16,98;20,91;27,13;19,30
2009;29,28;26,92;12,76;12,73;15,94;16,26;22,43;11,58;15,93;24,09;23,35;28,51;14,53;19,78;16,58;21,11;20,95;28,10;15,26
2010;29,28;27,92;20,80;20,93;19,71;21,91;21,75;19,88;19,68;23,72;22,68;30,81;20,57;27,50;24,14;23,62;23,98;28,60;21,06
2011;25,76;25,86;17,63;17,58;18,13;22,25;16,31;19,45;18,06;21,22;17,16;20,74;13,25;17,39;26,44;15,68;20,56;25,81;20,87
